apple 사과
banana 바나나
cat 고양이
dog 개
elephant 코끼리
fish 물고기
goat 염소
horse 말
ice 얼음
juice 주스
kite 연
lemon 레몬
monkey 원숭이
notebook 공책
orange 오렌지
pencil 연필
queen 여왕
rabbit 토끼
sun 태양
tree 나무
umbrella 우산
violin 바이올린
water 물
xylophone 실로폰
yogurt 요구르트
zebra 얼룩말
book 책
car 자동차
desk 책상
ear 귀
finger 손가락
grape 포도
hat 모자
island 섬
jacket 자켓
key 열쇠
lamp 램프
mountain 산
nurse 간호사
ocean 바다
pen 펜
question 질문
rain 비
snake 뱀
table 테이블
uncle 삼촌
vase 꽃병
window 창문
yard 마당
zipper 지퍼
ant 개미
bread 빵
clock 시계
drum 북
egg 달걀
fan 선풍기
gift 선물
hand 손
link 링크
jam 잼
kangaroo 캥거루
leaf 잎
moon 달
net 그물
owl 부엉이
pig 돼지
quilt 이불
rose 장미
star 별
tiger 호랑이
uniform 제복
van 밴
wolf 늑대
xenon 제논
yarn 실
zero 제로
ball 공
camera 카메라
doll 인형
engine 엔진
flag 깃발
glass 유리
hill 언덕
iron 다리미
jewel 보석
kitchen 부엌
lizard 도마뱀
magnet 자석
nest 둥지
oil 기름
piano 피아노
quiz 퀴즈
robot 로봇
ship 배
towel 수건
user 사용자
video 비디오
wing 날개
xerox 복사기
yell 외침
zone 구역
lion 사자
panda 팬다
